[-0.291894, -0.015171, 3.95968];[119, 139, 157]
[-0.291894, 0.0390764, 3.78358];[103, 125, 143]
[-0.291894, 0.0413367, 3.9487];[105, 125, 143]
[-0.291894, 0.0662002, 3.93756];[93, 113, 130]
[-0.291894, 0.0684605, 3.93226];[93, 114, 129]
[-0.291894, 0.0707208, 3.93221];[186, 208, 220]
[-0.291894, 0.0729811, 3.92697];[91, 113, 125]
[-0.291894, 0.0752414, 3.92179];[94, 115, 130]
[-0.291894, 0.143051, 3.76422];[148, 173, 183]
[-0.291894, 0.145311, 3.74716];[160, 184, 196]
[-0.291894, 0.147571, 3.75046];[222, 243, 251]
[-0.291894, 0.231203, 3.73868];[206, 225, 230]
[-0.291894, 0.233463, 3.73543];[170, 185, 187]
[-0.291894, 0.235723, 3.73537];[180, 193, 195]
[-0.291894, 0.237984, 3.73215];[184, 193, 196]
[-0.291894, 0.249285, 3.7165];[219, 221, 221]
[-0.291894, 0.251546, 3.71947];[205, 207, 207]
[-0.291894, 0.253806, 3.71942];[179, 184, 185]
[-0.291894, 0.256066, 3.71936];[170, 179, 188]
[-0.291894, 0.258327, 3.7163];[143, 153, 163]
[-0.291894, 0.260587, 3.71925];[138, 149, 157]
[-0.291894, 0.262847, 3.71619];[138, 149, 157]
[-0.291894, 0.330656, 3.72035];[223, 199, 179]
[-0.291894, 0.332917, 3.69446];[227, 223, 212]
[-0.291894, 0.335177, 3.68622];[214, 223, 226]
[-0.291894, 0.337437, 3.68889];[207, 217, 224]
[-0.291894, 0.339698, 3.69988];[231, 237, 242]
[-0.291894, 0.369082, 3.69916];[221, 225, 226]
[-0.291894, 0.371342, 3.69911];[131, 135, 136]
[-0.291894, 0.373602, 3.70183];[5, 9, 10]
[-0.291894, 0.380383, 3.71586];[39, 39, 39]
[-0.291894, 0.382644, 3.72162];[65, 63, 63]
[-0.291894, 0.384904, 3.72154];[81, 76, 77]
[-0.291894, 0.387164, 3.64295];[89, 83, 84]
[-0.291894, 0.409767, 3.63595];[82, 82, 82]
[-0.291894, 0.412028, 3.63594];[77, 77, 77]
[-0.291894, 0.414288, 3.63593];[195, 193, 193]
[-0.289633, -0.209558, 3.77228];[178, 192, 204]
[-0.289633, -0.207297, 3.7654];[177, 191, 203]
[-0.289633, -0.205037, 3.75865];[177, 191, 203]
[-0.289633, -0.202777, 3.75534];[177, 191, 203]
[-0.289633, -0.200516, 3.74546];[177, 191, 203]
[-0.289633, -0.198256, 3.75548];[177, 191, 203]
[-0.289633, -0.195996, 3.96636];[177, 191, 203]
[-0.289633, -0.175653, 3.96279];[175, 187, 199]
[-0.289633, -0.173393, 3.96299];[174, 186, 198]
[-0.289633, -0.171132, 3.96319];[172, 184, 196]
[-0.289633, -0.166612, 3.84754];[170, 182, 194]
[-0.289633, -0.114625, 3.89995];[145, 160, 179]
[-0.289633, -0.112364, 3.90006];[145, 160, 179]
[-0.289633, -0.110104, 3.87205];[147, 162, 181]
[-0.289633, -0.107844, 3.87213];[147, 162, 181]
[-0.289633, -0.105583, 3.70654];[148, 162, 180]
[-0.289633, -0.103323, 3.94091];[147, 161, 179]
[-0.289633, -0.101063, 3.94103];[146, 160, 178]
[-0.289633, -0.0965422, 3.74437];[143, 157, 175]
[-0.289633, -0.0942819, 3.7579];[142, 156, 174]
[-0.289633, -0.0920215, 3.8505];[142, 156, 175]
[-0.289633, -0.0897612, 3.85057];[142, 156, 175]
[-0.289633, -0.0875009, 3.81336];[140, 154, 173]
[-0.289633, -0.0852406, 3.96903];[138, 152, 171]
[-0.289633, -0.0829803, 3.95804];[136, 150, 169]
[-0.289633, -0.08072, 3.95814];[133, 148, 167]
